id_venta;producto;precio;cantidad;fecha_venta;categoria
2133;Smartphone;8843,0;2,0;2024-02-02;Electrónica
2329;Proyector;6288,0;7,0;2024-02-02;Electrónica
2476;Laptop;10923,0;7,0;2024-02-02;Electrónica
2548;SmartWatch;10899,0;10,0;2024-02-02;Electrónica
211;Lámpara de mesa;3003,0;8,0;2024-02-03;Decoración
541;Lámpara de mesa;7633,0;10,0;2024-02-03;Decoración
695;Alfombra;5129,0;2,0;2024-02-03;Decoración
1336;Secadora;4281,0;7,0;2024-02-03;Electrodomésticos
1499;Batidora;7753,0;4,0;2024-02-03;Electrodomésticos
2007;Cámara digital;11711,0;9,0;2024-02-03;Electrónica
2068;SmartWatch;4923,0;4,0;2024-02-03;Electrónica
2758;SmartWatch;8132,0;6,0;2024-02-03;Electrónica
2851;Parlantes Bluetooth;11042,0;2,0;2024-02-03;Electrónica
64;Jarrón decorativo;10416,0;10,0;2024-02-04;Decoración
763;Espejo decorativo;11799,0;3,0;2024-02-04;Decoración
1424;Aspiradora;6931,0;10,0;2024-02-04;Electrodomésticos
1455;Lavadora;3861,0;10,0;2024-02-04;Electrodomésticos
1456;Secadora;8424,0;3,0;2024-02-04;Electrodomésticos
2315;Auriculares;10907,0;4,0;2024-02-04;Electrónica
2832;Televisor;4923,0;4,0;2024-02-04;Electrónica
24;Jarrón decorativo;7051,0;12,0;2024-02-05;Decoración
40;Adorno de pared;10032,0;10,0;2024-02-05;Decoración
347;Elementos de cerámica;8352,0;12,0;2024-02-05;Decoración
911;Lámpara de mesa;3390,0;4,0;2024-02-05;Decoración
1451;Freidora eléctrica;4852,0;4,0;2024-02-05;Electrodomésticos
1855;Lavadora;12328,0;8,0;2024-02-05;Electrodomésticos
1961;Freidora eléctrica;8199,0;1,0;2024-02-05;Electrodomésticos
2378;SmartWatch;7238,0;1,0;2024-02-05;Electrónica
2426;Laptop;4757,0;4,0;2024-02-05;Electrónica
1064;Aspiradora;6500,0;9,0;2024-02-06;Electrodomésticos
1313;Microondas;8258,0;9,0;2024-02-06;Electrodomésticos
1848;Cafetera;12327,0;4,0;2024-02-06;Electrodomésticos
2267;Cámara digital;5781,0;10,0;2024-02-06;Electrónica
2438;SmartWatch;4598,0;3,0;2024-02-06;Electrónica
2566;Laptop;7059,0;9,0;2024-02-06;Electrónica
2617;Cámara digital;8953,0;9,0;2024-02-06;Electrónica
2627;Cámara digital;10283,0;5,0;2024-02-06;Electrónica
381;Lámpara de mesa;12457,0;3,0;2024-02-07;Decoración
393;Espejo decorativo;12211,0;7,0;2024-02-07;Decoración
662;Cuadro decorativo;4209,0;12,0;2024-02-07;Decoración
770;Adorno de pared;10374,0;5,0;2024-02-07;Decoración
895;Alfombra;10272,0;2,0;2024-02-07;Decoración
1340;Plancha de vapor;4848,0;10,0;2024-02-07;Electrodomésticos
1422;Cafetera;10997,0;2,0;2024-02-07;Electrodomésticos
1554;Aspiradora;12482,0;3,0;2024-02-07;Electrodomésticos
2584;Auriculares;4267,0;6,0;2024-02-07;Electrónica
163;Espejo decorativo;3011,0;12,0;2024-02-08;Decoración
367;Elementos de cerámica;4700,0;2,0;2024-02-08;Decoración
745;Alfombra;5002,0;12,0;2024-02-08;Decoración
850;Adorno de pared;11203,0;9,0;2024-02-08;Decoración
971;Lámpara de mesa;7991,0;8,0;2024-02-08;Decoración
1501;Freidora eléctrica;5869,0;4,0;2024-02-08;Electrodomésticos
1529;Batidora;7914,0;10,0;2024-02-08;Electrodomésticos
2618;SmartWatch;6498,0;11,0;2024-02-08;Electrónica
809;Lámpara de mesa;5838,0;4,0;2024-02-09;Decoración
1371;Freidora eléctrica;9571,0;4,0;2024-02-09;Electrodomésticos
1791;Freidora eléctrica;5137,0;9,0;2024-02-09;Electrodomésticos
2294;Auriculares;5454,0;9,0;2024-02-09;Electrónica
2668;SmartWatch;9701,0;4,0;2024-02-09;Electrónica
2718;SmartWatch;11023,0;11,0;2024-02-09;Electrónica
135;Alfombra;7847,0;1,0;2024-02-10;Decoración
212;Cuadro decorativo;5283,0;12,0;2024-02-10;Decoración
229;Lámpara de mesa;9971,0;3,0;2024-02-10;Decoración
737;Elementos de cerámica;11682,0;3,0;2024-02-10;Decoración
840;Adorno de pared;9148,0;9,0;2024-02-10;Decoración
949;Lámpara de mesa;8704,0;1,0;2024-02-10;Decoración
1294;Aspiradora;2611,0;9,0;2024-02-10;Electrodomésticos
1436;Secadora;4543,0;11,0;2024-02-10;Electrodomésticos
1696;Secadora;11557,0;12,0;2024-02-10;Electrodomésticos
2013;Smartphone;4934,0;12,0;2024-02-10;Electrónica
2203;Smartphone;5933,0;5,0;2024-02-10;Electrónica
2873;Smartphone;7480,0;5,0;2024-02-10;Electrónica
2973;Smartphone;9762,0;1,0;2024-02-10;Electrónica
43;Espejo decorativo;8116,0;2,0;2024-02-11;Decoración
205;Alfombra;10867,0;4,0;2024-02-11;Decoración
417;Elementos de cerámica;3597,0;2,0;2024-02-11;Decoración
462;Cuadro decorativo;10969,0;8,0;2024-02-11;Decoración
1730;Plancha de vapor;10157,0;10,0;2024-02-11;Electrodomésticos
1901;Freidora eléctrica;8307,0;6,0;2024-02-11;Electrodomésticos
2440;Consola de videojuegos;11079,0;8,0;2024-02-11;Electrónica
2952;Televisor;11258,0;5,0;2024-02-11;Electrónica
362;Cuadro decorativo;7197,0;12,0;2024-02-12;Decoración
952;Cuadro decorativo;7208,0;11,0;2024-02-12;Decoración
970;Adorno de pared;3750,0;3,0;2024-02-12;Decoración
1963;Microondas;9635,0;3,0;2024-02-12;Electrodomésticos
2122;Televisor;9730,0;9,0;2024-02-12;Electrónica
2334;Auriculares;5741,0;4,0;2024-02-12;Electrónica
2714;Auriculares;7470,0;10,0;2024-02-12;Electrónica
116;Cortinas;4019,0;3,0;2024-02-13;Decoración
2379;Proyector;10852,0;12,0;2024-02-13;Electrónica
2669;Proyector;2652,0;3,0;2024-02-13;Electrónica
2739;Proyector;6333,0;10,0;2024-02-13;Electrónica
2766;Laptop;3194,0;11,0;2024-02-13;Electrónica
2829;Proyector;3384,0;5,0;2024-02-13;Electrónica
151;Lámpara de mesa;11301,0;7,0;2024-02-14;Decoración
366;Cortinas;9284,0;1,0;2024-02-14;Decoración
406;Cortinas;6496,0;1,0;2024-02-14;Decoración
884;Jarrón decorativo;8289,0;10,0;2024-02-14;Decoración
1488;Cafetera;7998,0;2,0;2024-02-14;Electrodomésticos
1946;Secadora;6917,0;6,0;2024-02-14;Electrodomésticos
2154;Auriculares;4597,0;12,0;2024-02-14;Electrónica
2571;Parlantes Bluetooth;12336,0;5,0;2024-02-14;Electrónica
2871;Parlantes Bluetooth;10108,0;7,0;2024-02-14;Electrónica
282;Cuadro decorativo;8742,0;7,0;2024-02-15;Decoración
457;Elementos de cerámica;3825,0;1,0;2024-02-15;Decoración
946;Cortinas;10932,0;7,0;2024-02-15;Decoración
1353;Microondas;9865,0;2,0;2024-02-15;Electrodomésticos
2782;Televisor;6280,0;8,0;2024-02-15;Electrónica
2979;Proyector;6541,0;7,0;2024-02-15;Electrónica
1070;Plancha de vapor;4823,0;5,0;2024-02-16;Electrodomésticos
1265;Lavadora;12053,0;5,0;2024-02-16;Electrodomésticos
1798;Cafetera;9797,0;2,0;2024-02-16;Electrodomésticos
2304;Auriculares;4456,0;8,0;2024-02-16;Electrónica
2595;Auriculares;8196,0;2,0;2024-02-16;Electrónica
2825;Auriculares;3992,0;4,0;2024-02-16;Electrónica
727;Elementos de cerámica;10886,0;6,0;2024-02-17;Decoración
913;Espejo decorativo;5936,0;4,0;2024-02-17;Decoración
1346;Secadora;6411,0;4,0;2024-02-17;Electrodomésticos
1623;Microondas;9591,0;4,0;2024-02-17;Electrodomésticos
1924;Aspiradora;3810,0;9,0;2024-02-17;Electrodomésticos
2246;Laptop;7602,0;10,0;2024-02-17;Electrónica
2255;Auriculares;7237,0;8,0;2024-02-17;Electrónica
2345;Auriculares;6161,0;4,0;2024-02-17;Electrónica
275;Alfombra;3614,0;8,0;2024-02-18;Decoración
276;Cortinas;9873,0;10,0;2024-02-18;Decoración
436;Cortinas;7678,0;7,0;2024-02-18;Decoración
492;Cuadro decorativo;12022,0;5,0;2024-02-18;Decoración
658;Rincón de plantas;9623,0;8,0;2024-02-18;Decoración
694;Jarrón decorativo;9635,0;10,0;2024-02-18;Decoración
1081;Freidora eléctrica;9550,0;4,0;2024-02-18;Electrodomésticos
1115;Lavadora;9675,0;3,0;2024-02-18;Electrodomésticos
1510;Plancha de vapor;7995,0;10,0;2024-02-18;Electrodomésticos
2136;Laptop;6122,0;2,0;2024-02-18;Electrónica
2302;Televisor;6969,0;5,0;2024-02-18;Electrónica
2837;Cámara digital;6335,0;1,0;2024-02-18;Electrónica
83;Espejo decorativo;10138,0;6,0;2024-02-19;Decoración
252;Cuadro decorativo;11099,0;8,0;2024-02-19;Decoración
428;Rincón de plantas;7458,0;11,0;2024-02-19;Decoración
728;Rincón de plantas;5834,0;2,0;2024-02-19;Decoración
878;Rincón de plantas;2909,0;12,0;2024-02-19;Decoración
52;Cuadro decorativo;5223,0;10,0;2024-02-20;Decoración
387;Elementos de cerámica;7694,0;12,0;2024-02-20;Decoración
722;Cuadro decorativo;8463,0;5,0;2024-02-20;Decoración
1409;Batidora;7910,0;4,0;2024-02-20;Electrodomésticos
